Gaucho|4|Juventude|Avenida|Caxias do Sul|Rio Grande do Sul|Estádio Alfredo Jaconi|02/02/2023|18:00|VAN1|Estádio João Corrêa da Silveira->Estádio Alfredo Jaconi|2023-02-01 20:00:00|2:30
Gaucho|5|Grêmio|Aimoré|Porto Alegre|Rio Grande do Sul|Arena do Grêmio|04/02/2023|14:30|VAN1|Arena do Grêmio->Estádio Alfredo Jaconi|2023-02-03 16:17:00|2:43
Gaucho|5|Caxias|Esportivo|Caxias do Sul|Rio Grande do Sul|Estádio Francisco Stédile|05/02/2023|14:00|VAN2|Estádio Parque Esportivo Montanha dos Vinhedos->Estádio Francisco Stédile|2023-02-04 17:01:00|1:29
Gaucho|5|Ypiranga Erechim|Juventude|Erechim|Rio Grande do Sul|Estádio Olímpico Colosso da Lagoa|05/02/2023|16:30|VAN3|Estádio Olímpico Colosso da Lagoa->Estádio Bento da Silva Freitas|2023-02-04 13:05:00|7:55
Gaucho|5|São José RS|Brasil de Pelotas|Porto Alegre|Rio Grande do Sul|Estádio Francisco Novelletto Neto|05/02/2023|17:00|VAN1|Estádio Francisco Novelletto Neto->Arena do Grêmio|2023-02-04 20:45:00|0:45
Gaucho|5|Avenida|São Luiz|Santa Cruz do Sul|Rio Grande do Sul|Estádio dos Eucaliptos|05/02/2023|17:00|VAN4|Estádio dos Eucaliptos->Estádio José Pinheiro Borda|2023-02-04 18:36:00|2:54
Gaucho|5|Novo Hamburgo|Internacional|Novo Hamburgo|Rio Grande do Sul|Estádio do Vale|05/02/2023|18:30|KIT2|Estádio do Vale->Estádio do Vale|0|0:00
Gaucho|6|Novo Hamburgo|Brasil de Pelotas|Novo Hamburgo|Rio Grande do Sul|Estádio do Vale|08/02/2023|17:00|VAN1|Estádio Francisco Novelletto Neto->Estádio do Vale|2023-02-07 20:19:00|1:11
Gaucho|6|São Luiz|Esportivo|Ijuí|Rio Grande do Sul|Estádio 19 de Outubro|08/02/2023|18:00|VAN2|Estádio 19 de Outubro->Estádio Francisco Stédile|2023-02-07 16:18:00|6:12
Gaucho|6|Internacional|Caxias|Porto Alegre|Rio Grande do Sul|Estádio José Pinheiro Borda|08/02/2023|19:30|VAN3|Estádio José Pinheiro Borda->Estádio Olímpico Colosso da Lagoa|2023-02-07 17:54:00|6:06
Gaucho|6|Avenida|Aimoré|Santa Cruz do Sul|Rio Grande do Sul|Estádio dos Eucaliptos|09/02/2023|17:00|VAN4|Estádio dos Eucaliptos->Estádio dos Eucaliptos|2023-02-04 18:36:00|0:00
Gaucho|6|Ypiranga Erechim|São José RS|Erechim|Rio Grande do Sul|Estádio Olímpico Colosso da Lagoa|09/02/2023|17:00|KIT1|Estádio Olímpico Colosso da Lagoa->Estádio 19 de Outubro|2023-02-06 19:30:00|4:00
Gaucho|6|Juventude|Grêmio|Caxias do Sul|Rio Grande do Sul|Estádio Alfredo Jaconi|09/02/2023|17:30|KIT2|Estádio Alfredo Jaconi->Estádio do Vale|2023-02-06 21:49:00|2:11
Gaucho|7|Esportivo|Novo Hamburgo|Bento Gonçalves|Rio Grande do Sul|Estádio Parque Esportivo Montanha dos Vinhedos|11/02/2023|17:00|VAN1|Estádio Parque Esportivo Montanha dos Vinhedos->Estádio do Vale|2023-02-10 19:13:00|2:17
Gaucho|7|Brasil de Pelotas|Internacional|Pelotas|Rio Grande do Sul|Estádio Bento da Silva Freitas|11/02/2023|18:30|VAN2|Estádio Bento da Silva Freitas->Estádio 19 de Outubro|2023-02-10 16:09:00|6:51
Gaucho|7|Caxias|São Luiz|Caxias do Sul|Rio Grande do Sul|Estádio Francisco Stédile|12/02/2023|14:00|VAN3|Estádio José Pinheiro Borda->Estádio Francisco Stédile|2023-02-11 15:30:00|3:00
